MWF 1-4P, 178 WURSTER
MW 4-7P, 120 KROEBER
TuThSA 9-12P, 285 KROEBER
TuTh 1-4P, 285 KROEBER
TuThSA 1-4P, 120 KROEBER
TuThSA 4-7P, 120 KROEBER
TuTh 9-12P, 120 KROEBER
F 5-7P, 210 DWINELLE
M 630-830P, B56 HILDEBRAND
W 7-9P, 240 MULFORD
M 730-9P, 120 KROEBER
W 5-8P, 346 KROEBER
Tu 5-8P, NO FACILITY
W 12-1P, 338 KROEBER
TuTh 930-11A, 104 MOFFITT
TuTh 11-1230P, 104 MOFFITT
TuTh 1230-2P, 104 MOFFITT
TuTh 2-330P, 104 MOFFITT
MW 930-11A, 104 MOFFITT
MW 11-1230P, 104 MOFFITT
MW 1230-2P, 104 MOFFITT
MW 2-330P, 104 MOFFITT
TuTh 930-11A, 102 MOFFITT
W 2-3P, 241 STARR LIB
W 3-4P, 241 STARR LIB
W 4-5P, 241 STARR LIB
MWF 11-12P, 102 MOFFITT
W 4-5P, 104 BARROWS
W 2-3P, 101 WHEELER
W 3-4P, 104 BARROWS
TuTh 2-330P, 102 MOFFITT
W 2-3P, 87 DWINELLE
W 1-2P, 246 DWINELLE
TuTh 1230-2P, 103 MOFFITT
M 4-5P, 104 MOFFITT
M 5-6P, 104 MOFFITT
MWF 10-11A, 106 MOFFITT
M 12-1P, 241 STARR LIB
M 1-2P, 241 STARR LIB
TuTh 11-1230P, 102 MOFFITT
M 3-4P, 242 DWINELLE
M 4-5P, 258 DWINELLE
TuTh 8-930A, 106 MOFFITT
F 11-12P, 2030 VALLEY LSB
F 12-1P, 5 EVANS
MW 4-530P, 102 MOFFITT
Th 2-3P, 2066 VALLEY LSB
Th 5-6P, 2032 VALLEY LSB
Th 6-7P, 2030 VALLEY LSB
W 2-5P, 308B DOE LIBRARY
M 9-12P, 425 DOE LIBRARY
W 9-12P, 425 DOE LIBRARY
Th 9-12P, 425 DOE LIBRARY
Tu 10-1P, 425 DOE LIBRARY
M 7-9P, 104 MOFFITT
M 12-3P, 425 DOE LIBRARY
F 9-12P, 308B DOE LIBRARY
Th 1-4P, 425 DOE LIBRARY
W 2-5P, 308B DOE LIBRARY
W 9-12P, 308B DOE LIBRARY
Tu 2-5P, 308B DOE LIBRARY
Th 1-3P, 308B DOE LIBRARY
TuTh 11-1230P, 175 BARROWS
W 12-1P, 78 BARROWS
W 11-12P, 238 KROEBER
TuTh 930-11A, 151 BARROWS
W 2-3P, 591 BARROWS
TuTh 1230-2P, 155 BARROWS
W 8-9A, 136 BARROWS
W 9-10A, 107 GPB
TuTh 2-330P, 223 DWINELLE (effective 09/10/15)
W 9-10A, B5 HEARST ANNEX
W 8-9A, 155 BARROWS
MWF 12-1P, 120 LATIMER
M 9-10A, 175 BARROWS
Tu 2-3P, 105 DWINELLE
W 10-11A, 104 BARROWS
TuTh 930-11A, 166 BARROWS
Tu 2-3P, 310 HEARST MIN
Th 4-5P, 234 DWINELLE
Tu 6-730P, 45 EVANS
W 6-730P, B5 HEARST ANNEX
W 6-9P, 51 EVANS
TuTh 7-10P, 240 MULFORD
W 4-6P, OFF CAMPUS
MW 5-630P, 258 DWINELLE
TuTh 5-630P, 20 WHEELER
TuTh 5-630P, 229 DWINELLE
TuTh 5-630P, 30 WHEELER
Th 2-5P, 141 GIANNINI
MW 4-530P, 4 LECONTE
M 2-3P, 155 BARROWS
Tu 4-5P, 185 BARROWS
W 1-2P, 140 BARROWS
M 11-12P, 140 BARROWS
Tu 10-11A, 101 WHEELER
M 2-5P, 210 WHEELER
M 6-9P, 140 BARROWS
TuTh 330-5P, 110 BARROWS
TuTh 2-330P, 209 DWINELLE (effective 09/08/15)
Th 5-8P, 225 DWINELLE
Tu 6-730P, 45 EVANS
W 6-730P, B5 HEARST ANNEX
W 6-9P, 51 EVANS
TuTh 7-10P, 240 MULFORD
MW 5-630P, 258 DWINELLE
TuTh 5-630P, 20 WHEELER
TuTh 5-630P, 229 DWINELLE
TuTh 5-630P, 30 WHEELER
TuTh 1230-2P, A1 HEARST ANNEX
M 1-2P, 54 BARROWS
M 2-3P, 54 BARROWS
W 1-2P, 110 WHEELER
W 2-3P, 246 DWINELLE
F 1-2P, 100 WHEELER
F 2-3P, 187 DWINELLE
TuTh 5-6P, 123 WHEELER
MW 5-630P, 240 MULFORD
TuTh 5-630P, 156 DWINELLE
MW 5-630P, 106 MOFFITT
MWF 2-3P, 229 DWINELLE
TuTh 11-1230P, 229 DWINELLE
TuTh 330-5P, B1 HEARST ANNEX
TuTh 5-6P, 123 WHEELER
MW 5-630P, 240 MULFORD
